gene_id	WT_sIM_rep4	WT_sFM_rep3
gene:Solyc00g500374.1	0.0	0.0
gene:Solyc00g500375.1	0.0	0.0
gene:Solyc00g500376.1	0.0	0.0
gene:Solyc00g500379.1	0.0	0.0
gene:Solyc00g500380.1	0.0	0.0
gene:Solyc00g500381.1	0.0	0.0
gene:Solyc00g500382.1	0.0	0.0
gene:Solyc00g500383.1	0.0	0.0
gene:Solyc00g500384.1	0.0	0.0
gene:Solyc00g500385.1	0.0	0.0
gene:Solyc00g500386.1	0.0	0.0
gene:Solyc00g500387.1	0.0	0.0
gene:Solyc00g500388.1	0.0	0.0
gene:Solyc00g500389.1	0.0	0.0
gene:Solyc00g500390.1	0.0	0.0
gene:Solyc00g500391.1	0.0	0.0
gene:Solyc00g500392.1	0.0	0.0
gene:Solyc00g500393.1	0.0	0.0
gene:Solyc00g500394.1	0.0	0.0
gene:Solyc00g500395.1	0.0	0.0
gene:Solyc00g500396.1	0.0	0.0
gene:Solyc00g500397.1	0.0	0.0
gene:Solyc00g500398.1	0.0	0.0
gene:Solyc00g500399.1	0.0	0.0
gene:Solyc00g500400.1	0.0	0.0
gene:Solyc00g500401.1	0.0	0.0
gene:Solyc00g500402.1	0.0	0.0
gene:Solyc00g500403.1	0.0	0.0
gene:Solyc00g500404.1	0.0	0.0
gene:Solyc00g500405.1	0.0	0.0
gene:Solyc00g500406.1	0.0	0.0
gene:Solyc00g500407.1	0.0	0.0
gene:Solyc00g500408.1	0.0	0.0
gene:Solyc01g004000.1	0.0	0.0
gene:Solyc01g004002.1	0.0	0.0
gene:Solyc01g004004.1	0.0	0.0
gene:Solyc01g004006.1	0.0	0.0
gene:Solyc01g004008.1	0.0	0.0
gene:Solyc01g005000.3	79.59	53.38
gene:Solyc01g005010.5	3.36	0.98
gene:Solyc01g005020.3	18.96	16.95
gene:Solyc01g005030.4	9.23	9.77
gene:Solyc01g005040.3	0.16	0.09
gene:Solyc01g005050.4	0.0	0.0
gene:Solyc01g005060.3	0.84	0.39
gene:Solyc01g005070.3	0.03	0.03
gene:Solyc01g005080.3	12.46	12.07
gene:Solyc01g005090.3	0.0	0.0
gene:Solyc01g005100.4	8.87	8.47
gene:Solyc01g005110.3	27.89	26.43
gene:Solyc01g005120.3	22.17	18.4
gene:Solyc01g005130.3	2.17	1.82
gene:Solyc01g005140.3	0.0	0.0
gene:Solyc01g005150.3	0.0	0.0
gene:Solyc01g005160.5	0.0	0.0
gene:Solyc01g005170.3	0.0	0.0
gene:Solyc01g005180.1	1.96	4.92
gene:Solyc01g005210.4	30.93	33.17
gene:Solyc01g005220.3	0.02	0.04
gene:Solyc01g005230.5	0.0	0.0
gene:Solyc01g005240.4	43.92	43.11
gene:Solyc01g005250.5	43.3	46.63
gene:Solyc01g005253.1	4.77	4.37
gene:Solyc01g005257.1	20.9	17.6
gene:Solyc01g005280.3	8.18	7.88
gene:Solyc01g005290.4	13.64	11.73
gene:Solyc01g005310.3	0.0	0.0
gene:Solyc01g005320.2	0.31	0.49
gene:Solyc01g005330.3	96.08	98.81
gene:Solyc01g005340.3	5.15	4.53
gene:Solyc01g005350.4	0.76	1.44
